ad_date,campaign_name,total_spend,total_impressions,total_clicks,total_value,cpc,cpm,ctr,romi
05/11/2022,Expansion,0,0,0,0,,,,
01/11/2022,Expansion,0,0,0,0,,,,
31/10/2022,Expansion,227.45,6054,58,191.87,3.92,37.57,0.009580443,0.843570015
30/10/2022,Expansion,335.91,27562,69,472.61,4.87,12.19,0.002503447,1.406954244
29/10/2022,Expansion,714.03,33358,115,680.34,6.21,21.41,0.003447449,0.952817109
28/10/2022,Expansion,630.33,5522,121,590,5.21,114.15,0.021912351,0.936017642
27/10/2022,Expansion,359.63,45223,87,376.69,4.13,7.95,0.0019238,1.047437644
11/07/2022,Expansion,33.02,2674,40,47.02,0.83,12.35,0.014958863,1.423985463
10/07/2022,Expansion,234.34,11266,74,254.62,3.17,20.8,0.006568436,1.086540923
09/07/2022,Expansion,461.7,25300,53,355.11,8.71,18.25,0.002094862,0.769135802
08/07/2022,Expansion,171.48,11348,98,185.34,1.75,15.11,0.008635883,1.080825752
07/07/2022,Hobbies,0,0,0,0,,,,
06/07/2022,Expansion,590.29,8726,39,616.48,15.14,67.65,0.004469402,1.044368022
05/07/2022,Expansion,387.64,11470,138,658.17,2.81,33.8,0.012031386,1.697889795
05/07/2022,Hobbies,0,0,0,0,,,,
04/07/2022,Expansion,488.16,9719,145,740.66,3.37,50.23,0.01491923,1.517248443
04/07/2022,Hobbies,0,0,0,0,,,,
03/07/2022,Expansion,498.98,6802,36,717.34,13.86,73.36,0.005292561,1.43761273
03/07/2022,Hobbies,0,0,0,0,,,,
02/07/2022,Expansion,510.73,18550,31,545.89,16.48,27.53,0.001671159,1.068842637
02/07/2022,Hobbies,0,0,0,0,,,,
01/07/2022,Expansion,383.2,20914,119,309.39,3.22,18.32,0.005689968,0.807385177
01/07/2022,Hobbies,104.66,48119,215,145.09,0.49,2.18,0.00446809,1.38629849
30/06/2022,Expansion,206.24,13695,44,203.27,4.69,15.06,0.003212851,0.985599302
30/06/2022,Hobbies,129.42,94454,293,205.94,0.44,1.37,0.003102039,1.591253284
29/06/2022,Expansion,307.04,4843,56,479.29,5.48,63.4,0.011563081,1.561001824
29/06/2022,Hobbies,95.08,13454,67,92.69,1.42,7.07,0.004979932,0.974863273
28/06/2022,Expansion,322.28,6133,13,297.48,24.79,52.55,0.00211968,0.923048281
28/06/2022,Hobbies,106.62,32072,282,103.48,0.38,3.32,0.008792716,0.970549615
27/06/2022,Expansion,547.8,27268,108,871.95,5.07,20.09,0.003960687,1.591730559
27/06/2022,Hobbies,31.39,56941,119,51.59,0.26,0.55,0.002089883,1.643517044
26/06/2022,Expansion,514.52,6387,45,856.7,11.43,80.56,0.007045561,1.665047034
26/06/2022,Hobbies,72.67,23971,207,62.23,0.35,3.03,0.008635434,0.856336865
25/06/2022,Expansion,267.3,11977,66,388.95,4.05,22.32,0.005510562,1.455106622
25/06/2022,Hobbies,31.43,21165,130,54.05,0.24,1.48,0.006142216,1.719694559
24/06/2022,Expansion,346.13,9901,36,532.54,9.61,34.96,0.003635996,1.538554878
24/06/2022,Hobbies,127.66,57687,212,129.1,0.6,2.21,0.003675005,1.011279962
23/06/2022,Expansion,113.03,6823,126,118.69,0.9,16.57,0.01846695,1.050075201
23/06/2022,Hobbies,41.48,20908,59,40.98,0.7,1.98,0.002821886,0.987945998
22/06/2022,Hobbies,122.36,74713,113,179.17,1.08,1.64,0.001512454,1.464285714
21/06/2022,Expansion,578.03,9978,168,779.3,3.44,57.93,0.016837041,1.34819992
21/06/2022,Hobbies,89.96,38895,229,102.9,0.39,2.31,0.005887646,1.143841707
20/06/2022,Expansion,140.71,23450,64,151.51,2.2,6,0.002729211,1.076753607
20/06/2022,Hobbies,122.18,30538,153,159.6,0.8,4,0.005010151,1.306269439
19/06/2022,Expansion,490.32,11936,35,811.92,14.01,41.08,0.002932306,1.655898189
19/06/2022,Hobbies,132.05,48473,347,190.23,0.38,2.72,0.007158624,1.440590685
18/06/2022,Expansion,377.75,10517,34,297.71,11.11,35.92,0.003232861,0.788113832
18/06/2022,Hobbies,39.88,56188,105,68.37,0.38,0.71,0.001868726,1.71439318
17/06/2022,Expansion,136.8,4112,47,195.44,2.91,33.27,0.011429961,1.428654971
17/06/2022,Hobbies,70.54,67596,200,59.43,0.35,1.04,0.002958755,0.842500709
16/06/2022,Expansion,296.83,13671,105,452.18,2.83,21.71,0.007680492,1.523363541
16/06/2022,Hobbies,39.58,41809,200,63.78,0.2,0.95,0.004783659,1.611419909
15/06/2022,Expansion,339.61,25254,47,397,7.23,13.45,0.001861091,1.168987957
15/06/2022,Hobbies,180.23,40412,261,247.84,0.69,4.46,0.006458478,1.375131776
14/06/2022,Expansion,317.83,4627,31,473.88,10.25,68.69,0.006699805,1.490985747
14/06/2022,Hobbies,123.54,34672,437,131.15,0.28,3.56,0.01260383,1.061599482
13/06/2022,Expansion,494.96,15287,70,706.75,7.07,32.38,0.004579054,1.427893163
13/06/2022,Hobbies,138.99,30216,337,190.08,0.41,4.6,0.011153032,1.367580401
12/06/2022,Expansion,365.43,9715,73,344.51,5.01,37.62,0.007514153,0.942752374
12/06/2022,Hobbies,192.01,83373,269,236.33,0.71,2.3,0.003226464,1.230821311
11/06/2022,Expansion,407.86,13346,62,413.69,6.58,30.56,0.004645587,1.014294121
11/06/2022,Hobbies,142.38,79862,363,172.66,0.39,1.78,0.004545341,1.212670319
10/06/2022,Expansion,261.47,22099,50,339.64,5.23,11.83,0.002262546,1.298963552
10/06/2022,Hobbies,76.76,64869,280,100.32,0.27,1.18,0.004316391,1.306930693
09/06/2022,Expansion,337.2,13185,93,514.41,3.63,25.57,0.00705347,1.525533808
09/06/2022,Hobbies,137.9,63694,459,143.02,0.3,2.17,0.00720633,1.037128354
08/06/2022,Expansion,434.16,27349,123,492.72,3.53,15.87,0.004497422,1.13488115
08/06/2022,Hobbies,107.79,46940,158,111.29,0.68,2.3,0.003365999,1.032470545
07/06/2022,Hobbies,151.71,49115,273,262.09,0.56,3.09,0.005558383,1.727572342
06/06/2022,Expansion,244.94,29891,36,320.7,6.8,8.19,0.001204376,1.309300237
06/06/2022,Hobbies,100.66,21260,331,167.43,0.3,4.73,0.015569144,1.663322074
05/06/2022,Expansion,555.33,37427,109,793.41,5.09,14.84,0.002912336,1.42871806
05/06/2022,Hobbies,48.91,47129,129,74.61,0.38,1.04,0.002737168,1.525454917
04/06/2022,Expansion,215.62,5642,89,272.61,2.42,38.22,0.015774548,1.264307578
04/06/2022,Hobbies,101.03,27162,140,124.49,0.72,3.72,0.00515426,1.232208255
03/06/2022,Expansion,390.89,11090,87,392.01,4.49,35.25,0.007844905,1.002865256
03/06/2022,Hobbies,61.17,38756,67,71.34,0.91,1.58,0.001728765,1.16625797
02/06/2022,Expansion,514.25,34123,90,561.51,5.71,15.07,0.002637517,1.091900826
02/06/2022,Hobbies,47.66,41860,171,66.83,0.28,1.14,0.004085045,1.402224087
01/06/2022,Expansion,149.2,33127,72,138.25,2.07,4.5,0.002173454,0.926608579
01/06/2022,Hobbies,82.64,32890,188,85.31,0.44,2.51,0.005716023,1.032308809
31/05/2022,Expansion,527.55,39842,147,858.12,3.59,13.24,0.003689574,1.626613591
31/05/2022,Hobbies,20.55,22461,44,22.33,0.47,0.91,0.001958951,1.086618005
30/05/2022,Expansion,478.99,30011,111,631.86,4.32,15.96,0.003698644,1.319150713
30/05/2022,Hobbies,197.07,70144,368,227.06,0.54,2.81,0.00524635,1.152179429
29/05/2022,Expansion,494.16,23002,40,464.02,12.35,21.48,0.001738979,0.939007609
29/05/2022,Hobbies,241.51,153138,431,347.19,0.56,1.58,0.002814455,1.437580224
28/05/2022,Expansion,227.26,15990,107,226.43,2.12,14.21,0.006691682,0.996347795
28/05/2022,Hobbies,207.46,114581,393,227.27,0.53,1.81,0.003429888,1.095488287
27/05/2022,Expansion,356.7,14277,106,528.82,3.37,24.98,0.007424529,1.482534343
27/05/2022,Hobbies,160.53,86353,544,241.7,0.3,1.86,0.006299723,1.505637576
26/05/2022,Hobbies,183.59,102362,695,238.71,0.26,1.79,0.006789629,1.300234218
25/05/2022,Expansion,369.51,12865,90,456.41,4.11,28.72,0.006995725,1.235176315
25/05/2022,Hobbies,199.32,120144,487,246.72,0.41,1.66,0.004053469,1.237808549
24/05/2022,Expansion,164.75,33289,100,136.47,1.65,4.95,0.003003995,0.828345979
24/05/2022,Hobbies,204.22,138635,621,237.7,0.33,1.47,0.004479388,1.163940848
23/05/2022,Expansion,303.07,16480,58,337.91,5.23,18.39,0.003519417,1.114956941
23/05/2022,Hobbies,123.26,95102,600,157.99,0.21,1.3,0.006309016,1.281762129
22/05/2022,Expansion,163.3,11943,138,284.26,1.18,13.67,0.011554886,1.740722596
22/05/2022,Hobbies,144.81,79808,559,179.29,0.26,1.81,0.00700431,1.238105103
21/05/2022,Expansion,146.3,26675,111,220.43,1.32,5.48,0.0041612,1.506698565
21/05/2022,Hobbies,194.71,155063,511,281.84,0.38,1.26,0.003295435,1.447486005
20/05/2022,Expansion,472.42,34386,149,490.67,3.17,13.74,0.004333159,1.038630879
20/05/2022,Hobbies,121.68,124428,555,133.65,0.22,0.98,0.004460411,1.098372781
19/05/2022,Expansion,427.31,36710,152,592.03,2.81,11.64,0.004140561,1.385481267
19/05/2022,Hobbies,111.35,97738,651,127.02,0.17,1.14,0.006660664,1.140727436
18/05/2022,Expansion,545.96,31019,189,611.41,2.89,17.6,0.00609304,1.119880577
18/05/2022,Hobbies,173.02,118173,677,166.6,0.26,1.46,0.005728889,0.962894463
17/05/2022,Expansion,318.86,33077,114,485.45,2.8,9.64,0.003446504,1.522454996
17/05/2022,Hobbies,174.97,115151,519,230.82,0.34,1.52,0.004507125,1.319197577
16/05/2022,Hobbies,146.97,69807,512,211.93,0.29,2.11,0.007334508,1.441994965
15/05/2022,Expansion,237.33,23706,102,412.56,2.33,10.01,0.004302708,1.738339022
15/05/2022,Hobbies,70.04,94883,339,102.39,0.21,0.74,0.003572821,1.461878926
14/05/2022,Expansion,324.07,8895,23,473.99,14.09,36.43,0.002585722,1.462616101
14/05/2022,Hobbies,117.93,56445,499,163.44,0.24,2.09,0.008840464,1.385906894
13/05/2022,Expansion,346.32,10100,100,430.45,3.46,34.29,0.00990099,1.242925618
13/05/2022,Hobbies,81.83,45049,303,84.57,0.27,1.82,0.006726009,1.033484052
12/05/2022,Expansion,509.67,6672,111,591.43,4.59,76.39,0.016636691,1.160417525
12/05/2022,Hobbies,87.17,67234,310,124.54,0.28,1.3,0.004610762,1.428702535
11/05/2022,Expansion,568.57,27283,284,471.17,2,20.84,0.010409412,0.828693037
11/05/2022,Hobbies,114.13,95819,311,184.61,0.37,1.19,0.003245703,1.6175414
